personal_income,state_po,year,percent_delta_prev
38910.0,WI,2008,0.02996452962041407
43034.0,WI,2012,0.04517413901976974
47553.0,WI,2016,0.018592695726678876
5455.0,WV,1976,0.0929673412141856
8011.0,WV,1980,0.09216087252897065
10344.0,WV,1984,0.08461780434098776
12697.0,WV,1988,0.08262278308321958
16277.0,WV,1992,0.07212488473191936
18767.0,WV,1996,0.04047236236624707
22331.0,WV,2000,0.060502445742508515
25587.0,WV,2004,0.03344238458742277
31258.0,WV,2008,0.059126486633009234
35116.0,WV,2012,0.028979986520936585
36929.0,WV,2016,0.0004063498943489563
7309.0,WY,1976,0.06654020137166206
11612.0,WY,1980,0.11258024336495165
13581.0,WY,1984,0.05524475524475525
15056.0,WY,1988,0.04613674263479717
19583.0,WY,1992,0.040652566691465664
22693.0,WY,1996,0.0401045008708405
29519.0,WY,2000,0.07388678696158313
35120.0,WY,2004,0.05799066124416319
48593.0,WY,2008,0.07120340365496114
53524.0,WY,2012,0.07080124037211166
54617.0,WY,2016,-0.04360236048120192
